"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","citi","design","develop","health","communic","knowledg","manag","team","data","excel"
"2","knowledg","construct","applic","state","written","secur","project","problem","public","microsoft"
"3","familiar","engin","sql","servic","excel","system","multipl","environ","analysi","profici"
"4","system","licens","databas","degre","verbal","network","complex","detail","program","word"
"5","includ","valid","servic","legal","oral","follow","demonstr","independ","research","offic"
"6","york","driver","knowledg","york","knowledg","technolog","present","effect","relat","communic"
"7","financi","applic","tool","communiti","interperson","certif","supervis","high","polici","write"
"8","agenc","standard","web","law","organiz","window","proven","task","administr","comput"
"9","regul","specif","data","program","analyt","includ","busi","deadlin","plan","plus"
"10","procedur","build","understand","organ","technic","manag","assign","solv","demonstr","powerpoint"
