"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6"
"1","includ","knowledg","excel","knowledg","manag","knowledg"
"2","citi","system","communic","servic","project","design"
"3","public","develop","written","state","data","construct"
"4","familiar","applic","microsoft","health","team","engin"
"5","polici","secur","profici","york","multipl","softwar"
"6","demonstr","tool","word","relat","busi","applic"
"7","write","servic","interperson","program","problem","licens"
"8","research","sql","oral","degre","analysi","technic"
"9","issu","technolog","offic","law","present","system"
"10","profession","follow","organiz","legal","demonstr","oper"
