"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10","Topic 11","Topic 12"
"1","knowledg","excel","york","communic","data","design","demonstr","offic","level","public","manag","develop"
"2","secur","word","state","excel","analysi","engin","team","system","high","health","project","applic"
"3","system","microsoft","law","written","includ","construct","detail","profici","success","program","process","sql"
"4","network","profici","licens","knowledg","write","specif","environ","citi","oper","polici","busi","tool"
"5","technolog","comput","legal","verbal","report","applic","independ","familiar","manag","relat","complex","knowledg"
"6","follow","plus","regul","interperson","analyt","standard","problem","includ","follow","communiti","technic","servic"
"7","window","powerpoint","accredit","oral","softwar","knowledg","solv","microsoft","effect","field","understand","web"
"8","environ","communic","degre","organiz","research","licens","deadlin","manag","provid","administr","proven","databas"
"9","certif","offic","perform","multi","analyz","code","attent","organiz","servic","degre","staff","test"
"10","certifi","access","full","comput","demonstr","build","effect","write","communic","issu","plan","least"
