CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
872986408,01/01/2016,00:01:00,12/31/2017,23:59:00,03/05/2018,233,SEX CRIMES,170,"SEXUAL MISCONDUCT,INTERCOURSE",ATTEMPTED,MISDEMEANOR,N.Y. HOUSING POLICE,MANHATTAN,33,INSIDE,RESIDENCE - PUBLIC HOUSING,,,1001936,245282,40.839908201,-73.936083587,"(40.839908201, -73.936083587)"
911003056,01/01/2016,12:00:00,02/16/2018,12:00:00,02/28/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,20,INSIDE,OTHER,,,989731,222727,40.778016975,-73.980211324,"(40.778016975, -73.980211324)"
178447094,01/01/2016,08:00:00,03/18/2017,17:00:00,02/21/2018,109,GRAND LARCENY,420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1001606,251324,40.856492363,-73.93726058,"(40.856492363, -73.93726058)"
713483285,01/01/2016,00:00:00,02/15/2018,19:30:00,02/16/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,32,INSIDE,RESIDENCE - APT. HOUSE,,,1001374,238163,40.820369696,-73.938132846,"(40.820369696, -73.938132846)"
908438691,01/01/2016,10:00:00,02/11/2018,16:00:00,02/11/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,24,INSIDE,RESIDENCE - APT. HOUSE,,,993373,229301,40.79605784,-73.967052307,"(40.79605784, -73.967052307)"
807539955,01/01/2016,12:00:00,01/24/2018,17:00:00,01/24/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,RESIDENCE - APT. HOUSE,,,988085,217902,40.764774473,-73.986157253,"(40.764774473, -73.986157253)"
194735658,01/04/2016,12:00:00,01/04/2016,23:00:00,01/11/2018,109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1005250,254388,40.864894204,-73.92407815,"(40.864894204, -73.92407815)"
851536595,01/08/2016,12:00:00,01/08/2016,12:05:00,05/17/2018,109,GRAND LARCENY,439,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,985850,210155,40.743511609,-73.994227355,"(40.743511609, -73.994227355)"
593729757,01/18/2016,07:44:00,01/18/2018,07:47:00,01/18/2018,341,PETIT LARCENY,333,"LARCENY,PETIT FROM STORE-SHOPL",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,INSIDE,DRUG STORE,,,998151,234236,40.809596838,-73.949785598,"(40.809596838, -73.949785598)"
881300600,01/25/2016,12:00:00,03/25/2018,01:00:00,03/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,6,INSIDE,,,,984037,205508,40.730756883,-74.000769976,"(40.730756883, -74.000769976)"
254166325,01/28/2016,10:00:00,01/28/2018,11:00:00,01/29/2018,365,ADMINISTRATIVE CODE,878,"ADM.CODE,UNCLASSIFIED MISDEMEA",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,FRONT OF,RESIDENCE - APT. HOUSE,,,996600,231435,40.801911169,-73.955393569,"(40.801911169, -73.955393569)"
726809803,01/28/2016,12:58:00,01/28/2018,13:12:00,01/28/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,19,INSIDE,RESIDENCE - APT. HOUSE,,,997293,221326,40.774163675,-73.952910098,"(40.774163675, -73.952910098)"
980378611,02/01/2016,08:00:00,01/29/2018,18:00:00,01/30/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,COMMERCIAL BUILDING,,,989736,216243,40.760220074,-73.980198562,"(40.760220074, -73.980198562)"
539064060,02/09/2016,12:00:00,02/13/2016,20:00:00,03/22/2018,104,RAPE,157,RAPE 1,COMPLETED,FELONY,N.Y. HOUSING POLICE,MANHATTAN,32,INSIDE,RESIDENCE - PUBLIC HOUSING,,,999358,236472,40.815732053,-73.945420411,"(40.815732053, -73.945420411)"
407166170,02/11/2016,08:00:00,02/11/2016,20:00:00,04/17/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,25,INSIDE,PUBLIC BUILDING,,,1001797,232216,40.804046007,-73.936620103,"(40.804046007, -73.936620103)"
676532146,02/14/2016,10:00:00,02/15/2016,12:00:00,02/16/2018,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,7,,TRANSIT - NYC SUBWAY,,,987206,199455,40.714142367,-73.989338511,"(40.714142367, -73.989338511)"
792217800,02/16/2016,12:30:00,02/23/2016,23:00:00,02/10/2018,341,PETIT LARCENY,347,PETIT LARCENY-CHECK FROM MAILB,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,34,,MAILBOX OUTSIDE,,,1004811,253066,40.861266748,-73.925669364,"(40.861266748, -73.925669364)"
629044935,02/23/2016,12:00:00,06/06/2018,12:00:00,06/14/2018,109,GRAND LARCENY,432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1005947,254944,40.866418569,-73.921556421,"(40.866418569, -73.921556421)"
267580625,02/23/2016,12:00:00,06/06/2018,12:00:00,06/14/2018,112,THEFT-FRAUD,739,"FRAUD,UNCLASSIFIED-FELONY",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,34,INSIDE,RESIDENCE - APT. HOUSE,,,1005947,254944,40.866418569,-73.921556421,"(40.866418569, -73.921556421)"
856704542,02/28/2016,07:09:00,02/28/2018,07:09:00,02/28/2018,109,GRAND LARCENY,403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,33,INSIDE,MAILBOX INSIDE,,,1001540,244426,40.837559515,-73.937516953,"(40.837559515, -73.937516953)"
847129382,02/29/2016,15:39:00,01/31/2018,12:00:00,01/31/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,INSIDE,GYM/FITNESS FACILITY,,,986636,219002,40.767794199,-73.991387694,"(40.767794199, -73.991387694)"
623636864,03/01/2016,00:01:00,03/30/2018,15:30:00,04/04/2018,109,GRAND LARCENY,407,"LARCENY,GRAND BY DISHONEST EMP",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,,,991204,206293,40.732908785,-73.97490979,"(40.732908785, -73.97490979)"
607729109,03/01/2016,14:00:00,01/21/2018,20:30:00,01/21/2018,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,30,INSIDE,RESIDENCE - APT. HOUSE,,,998060,240479,40.826732261,-73.950101481,"(40.826732261, -73.950101481)"
150415238,03/02/2016,17:32:00,03/02/2016,17:48:00,02/01/2018,341,PETIT LARCENY,339,"LARCENY,PETIT FROM OPEN AREAS,",COMPLETED,MISDEMEANOR,N.Y. TRANSIT POLICE,MANHATTAN,1,,TRANSIT - NYC SUBWAY,,,982466,197787,40.709564416,-74.006436281,"(40.709564416, -74.006436281)"
280715700,03/10/2016,18:00:00,03/10/2016,18:00:00,05/23/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,17,,STREET,,,994001,216161,40.759991331,-73.964803255,"(40.759991331, -73.964803255)"
915787960,03/15/2016,14:00:00,03/15/2018,14:15:00,03/16/2018,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,MANHATTAN,33,FRONT OF,RESIDENCE - APT. HOUSE,,,1001188,248123,40.84770738,-73.938779711,"(40.84770738, -73.938779711)"
