zip,Salary.Range.To
11373,63728
11373,209585
10007,80000
11101,97659
11201,58000
11101,78.59
11212,78.59
11101,84301
10038,102388
11373,110000
11205,97360.83
10038,42799
10038,88649
10016,56019
11238,67873
11417,47824
11373,68181
11373,113725
10271,70000
10001,115000
10461,46316
11373,104182
11373,64357
10038,67000
10038,17.28
10038,92500
10455,110000
11101,64800
11201,60000
11373,150371
11222,35167
11101,141865
10025,81798
11212,66258
10013,150371
10038,90000
10451,149190
10451,149190
11373,150371
11201,36309
10038,97000
10455,110000
11370,50763
10001,120000
10013,51049
11201,140000
11370,85029
11201,76399
11101,141865
11373,55039
10016,32621
10038,81535
10474,38528
11373,168433
10007,17
11430,54879
10271,135000
11373,186555
12765,105000
11101,19.62
11373,77404
11101,61936
10038,60403
11101,91850.76
10007,65433
11101,64800
11101,56960.92
NA,47719
NA,65458.8
11101,83151
11101,65000
10038,60000
10038,150371
11201,13.5
10007,22.8298
90022,90153
10007,74479
10007,135000
11373,104182
10004,77250
11373,79726
11101,150371
11201,121363
11101,15.5
11101,85000
10007,202744
10038,76000
10004,135000
11201,150000
11373,194395
10007,178873
10007,68244
10004,103952
10007,31.3279
11373,71794
10007,80000
11222,17.9
11101,81535
11101,47824
11101,110000
11201,224749
11101,47824
10038,87027
22314,121497
10004,91347
10016,54967
10007,87550
11101,73955
NA,62744.76
11101,83151
11101,87295.32
10007,68494
10007,68244
10007,56491
11101,95270
11373,49035
10004,91347
11373,363.92
11201,125000
10038,85000
10004,74049
11373,144413
10029,42072.48
10007,53000
11101,97873
NA,150371
10013,17.9
10007,23.215
11373,141319
11201,77423
10038,60000
11101,161497
11373,73039
10035,87489
11373,80000
10004,118610
10013,81000
11373,65678
11201,68264
10007,60403
11101,106222
12740,363.92
11101,168433
10004,83151
10038,70000
11370,99394
11205,156829
10038,1.00E+05
10007,43618
11101,83151
11201,84000
10004,108657
11101,84301
10007,48115
11373,91347
10013,102600
11101,66247
10007,75000
10457,67876
11101,84376
11101,60447
10016,101853.72
10307,89942
10007,70000
11101,70200
11201,105000
10007,90000
11101,161497
10038,57000
10004,81535
11101,91045.08
10007,1.00E+05
10007,41844
11101,78840
11201,83500
11201,16.77
11101,68499
10013,51049
11373,49035
10013,75355.92
11432,91.53
11373,125000
11373,71794
11373,121363
10462,91800
11201,50763
11201,55000
10038,75000
10038,130000
10013,59400
10007,58162
NA,208298
10007,105268
10038,90000
10007,51981
11373,69493
11373,134433
10007,175000
11373,81535
10038,59863
11101,85000
11101,202744
11373,104182
10007,112500
11101,108657
11373,141235
10007,80000
11201,175000
10038,130000
11101,81535
11237,55526
10007,17
11373,63728
10038,80000
10004,114954
11373,144413
11101,101853.72
10007,150371
11377,54018
10004,113725
12461,104182
11238,41036
NA,186555
11101,92001
10025,81798
10016,82965.6
10038,46000
11373,52000
11101,144413
NA,82395
11373,134433
11101,81535
11201,1.00E+05
10038,60403
11373,63728
10013,87295.32
10457,60489
10038,60000
11222,61800
10007,60403
11101,66739
10004,52524
11201,150371
11101,178873
10595,115000
11373,87443
11373,106222
11373,79726
10038,90000
11370,35795
10461,46316
NA,35
11201,105000
11201,224749
11373,134433
10007,168433
11373,78177
11222,98262
11101,79435.08
10007,57944
10007,74479
10007,74479
10595,144413
11101,161497
10004,81535
10007,78177
NA,36.93
10013,87295.32
10016,95821
10038,95022
10007,135000
11101,83151
NA,145000
12461,113725
10465,70808
10595,115000
10007,52141
11101,95270
11432,65235.24
11373,52000
10013,102600
11354,97873
11373,194395
11101,78.59
10007,58162
11373,83151
11432,31.3279
11373,120000
11373,118610
10038,54000
11373,100613
11101,130036
10038,52148
11101,88213
10038,65000
10004,85000
11222,59534
10301,79741
10038,78177
10004,74479
11101,110000
10016,93904
10007,90000
10023,98274.33
10023,98274.33
11373,178873
10007,53759
10007,84301
11373,70353
10004,113725
10004,113725
10004,81535
11373,104182
11101,56860.92
NA,56860.92
11101,92001
10007,80000
10007,120000
10301,70000
11101,78211
10007,65625
10016,122000
11201,111598
10007,55863
46205,41675
11101,35.9485
10007,75000
NA,65585
11106,75349
11417,83151
11378,70045
11101,81535
10038,57074
11201,186555
11222,25.0733
11373,156793
10038,42799
10304,55870
10016,55000
11201,85029
10038,67523
10038,60000
11373,144413
11201,99161
11373,68000
11201,150371
11201,140000
10001,83500
10007,65000
11417,95270
10038,63386
11101,141865
11101,141865
10271,111000
10016,78999.84
10038,125000
11373,81131
10007,149190
10029,42072.48
11373,79726
11101,150371
11417,95270
11354,81798
11101,92001
11373,77410
11373,77410
10004,83500
10016,56019
11101,230000
11101,109153
10007,92001
10033,363.92
95833,91347
10457,28.78
11205,156829
11229,47142
10007,56249
11101,101853.72
11101,89638
11201,81172
11201,119000
11373,104182
11205,55870
11377,75000
94704,161497
10038,68181
10301,60447
10007,110000
11373,78177
52404,104182
11101,60990
10038,56019
10007,65000
11101,108657
10004,81535
10007,55000
11101,22.4204
10307,77145
10004,104182
10314,66109
11373,76677
11368,81535
11368,81535
11201,36309
11373,95022
10007,81535
,55870
10016,79285
10038,61280
11101,37.4926
10038,62000
10007,144268
10038,60403
10007,17
10007,120000
11101,116391
10007,75000
11101,68499
10038,52148
11101,57.69
10001,115000
11101,118728
11201,150371
11101,60000
11201,83500
11373,83500
10038,76399
,40629
11201,64000
10007,17
11373,91000
11222,322.4
11101,136023
11101,58933.44
71106,113725
11101,65678
11373,116126
11373,134433
10007,1.00E+05
,86238
10035,87489
10016,65938
10013,65637
10013,20
11222,75259
10004,89638
10025,46374
10007,55000
11373,53.99
11222,60659
11373,101148
10004,104182
11101,116391
10007,64307
11101,74183
11101,67614
11373,150371
11101,125000
10038,47000
11201,110000
11101,97200
11373,144413
11373,134433
10016,51290
10013,51049
10016,140000
10004,80000
11373,79726
11101,118610
10007,70000
10007,59385
11373,79726
11101,17.9
10004,113725
11101,125000
10038,126000
10038,34238
11101,17.9
11101,70200
10007,21
11373,63728
11101,141865
NA,224749
11373,41675
10038,123600
10007,115000
10007,59853
10007,92119
11101,113838
11373,105000
11101,80339
11101,17.9
10038,69576
10004,85000
10007,80829
11373,40.3
11222,61800
11201,116126
10007,140000
10013,43879.32
11417,361.48
10038,87027
11101,96898
11101,141865
10007,78177
11373,78859
10007,57944
11101,90000
11101,58933.44
10038,80292
11373,105094
10007,83440
10007,74356
10013,51049
11101,79726
10038,80996
11101,73955
11372,15.5
7751,178873
10013,44045.64
11201,88000
11373,141865
11101,124200
,156793
11101,117983.52
11101,88213
10007,59300
10007,49707
10035,64040
11373,113725
10038,61936
11101,80000
10301,73039
10451,61936
10007,54879
11373,104182
10301,135000
10016,75000
10004,83151
10001,47515
10007,95317
10004,22.0718
11101,112821
10003,78179
11101,67604
10004,51902
11101,70756.2
10007,92001
11373,90000
10007,85000
11101,37.4926
10016,80061
11101,108000
NA,58338
10007,78177
10004,98000
10007,15.5
11373,161497
12461,91347
NA,82526.04
10007,55157
11101,75600
11101,75866
10016,68377
10271,70000
11373,141235
10038,130000
10038,51500
10301,60447
11201,62000
NA,91.53
10007,80000
10004,132061
NA,54580.32
10038,72000
11377,72016
10004,64662
11101,64800
10007,175000
10007,70000
11368,91000
11368,91000
20005,60223
11373,64357
11373,49035
10007,95000
11373,90418
10007,70000
11373,209585
11370,85029
10038,75000
10004,68750
11373,194395
10007,66591
10038,120000
11101,60223
11373,118610
10007,95000
10007,70000
10007,75000
10016,65429
11201,24.2923
11373,63728
11101,78.59
10038,42799
11373,113725
10007,105000
,62391
10038,95000
11201,186555
11201,131623
10038,95022
11101,19.62
10007,133900
10004,53000
10007,76275
10001,226366
10007,70000
10007,65000
11373,74479
11201,126447
11101,79695
11101,91044
11373,97873
10038,46350
10007,140000
11101,23.9
11201,80000
11201,1.00E+05
10013,65637
10007,97803
11101,61936
10016,51290
11101,64789
,78177
11206,23.9
11373,113725
10007,80000
10458,21.19
11370,110000
10038,42799
71106,95214
11222,62446
11377,17.9
10007,149190
10271,81833
11201,224749
11101,161497
11373,147057
11101,68181
10007,60403
11101,17.9
11101,83151
10007,54913
10007,50000
11432,78177
10038,61280
11101,105000
11373,85000
10007,160000
10038,1.00E+05
11208,97000
11201,120000
10013,48253
10451,31.3279
11205,116126
10016,65938
10007,1.00E+05
10007,65000
10007,60403
11101,141865
10004,79726
10038,125000
10007,95616
13755,83151
10038,60000
11101,168433
10038,46350
10013,37980
10004,90000
11101,17.9
10038,110000
10038,42799
10007,150000
10013,120000
11373,71794
10004,90000
11101,67500
10029,32665
10038,50000
10007,110000
11101,75866
11373,95270
11101,65678
10075,38760
11373,194395
11206,51049
10025,24.74
10007,53759
10016,82093
11373,178873
11201,105875
11101,45123
11373,71794
10007,160000
10016,51993
10007,17
10001,115000
10013,120000
11215,91000
11373,79726
10016,67138
10007,49394
10038,1.00E+05
11370,99394
10013,51049
NA,70814.52
10595,113725
11373,116126
10004,79726
10007,150000
11373,134433
10007,1.00E+05
11373,104182
11373,194395
11373,79726
10016,82646
10007,110000
10004,52524
10016,65000
11373,58478
NA,50733
10004,74479
11101,64800
11373,104182
11435,73576
11201,36309
10457,41675
10035,87489
10007,41710
11373,134433
10038,78177
10038,75000
11101,75349
10001,135000
10007,65433
11101,17.9
10462,62308
11222,55.98
10038,57341
11101,89634
NA,74183
11373,156793
11201,224749
11201,90000
11201,119000
11101,70500
11222,75259
10038,36.94
10595,35.95
10004,91347
11373,104182
11101,45200.16
11373,72310
10038,130000
NA,74482
10007,83160
10038,90000
10004,136023
11373,107000
10004,17.9
10035,80000
10035,80000
11205,55870
NA,70756.2
11101,108000
10016,65000
11101,156829
10038,87550
11373,79726
11201,74000
11101,161497
11373,71794
10007,48780
10038,49586
11101,71794
10451,61936
11373,49035
11101,54000
NA,65585
10007,75900
10016,83362
,79726
10007,85000
11101,161497
10013,68499
10007,71436
11373,99394
10038,55000
10007,90000
11101,99394
10038,69984
11101,75000
11370,50763
10004,86565
10038,95000
11101,72224
10004,45288
11101,75349
10007,75000
10038,120000
10457,60489
11101,202744
11101,81535
11373,65000
11101,67556
11201,102388
10007,1.00E+05
10075,38760
10075,38760
10038,110000
11373,63728
10007,77190
11205,53.29
10007,68244
10016,83362
11101,23.9
11101,97200
11101,165000
22314,109000
11101,150371
11101,60990
10038,59183
22314,109153
10016,145991
10038,75000
11101,62779
11101,61339
11101,75349
10016,178873
11101,75000
11201,110315
10271,90000
11101,225217
11373,72742
11201,74000
10007,58162
11373,70213
10007,40629
11201,71294
10038,98000
10007,72535
10461,41830
10007,66636
11101,225217
10007,79741
11373,134433
10007,58162
10004,60000
10001,47515
10007,53616
11201,55000
10007,22.8298
10013,144929
10007,75000
11201,125000
11373,185000
71106,113725
10004,91347
11101,54000
10595,68181
10038,57000
10001,120000
10462,25.81
10038,98163
11372,15.5
11101,225217
10038,89638
11373,64662
10004,77250
10271,31.4193
11101,64800
10007,75000
10013,87295.32
10007,175000
NA,39.11
10004,85000
11373,52000
11373,79726
11373,134433
10038,65000
11101,83151
10038,61280
10038,81535
11373,111344
11101,109153
10038,83440
10038,77000
10038,123600
NA,54580.32
11101,88213
10007,95000
11433,55870
11432,161497
10004,54879
10004,54879
10007,78177
11373,40.3
11101,81535
10038,75000
10007,60000
10301,45000
10007,165000
11373,161497
10038,95022
11101,17.9
10007,65433
11101,14.5
10271,68000
11101,17.9
11101,81535
11236,89729
11222,322.4
10027,95616
11101,76030.92
11373,89942
10007,58716
10007,40629
10007,40629
10004,97873
10004,80824
11201,95077
11201,68834
10007,75000
10004,66733
11201,60375
11222,60659
11377,17.9
11201,90000
11373,113725
10016,55000
10474,57164
11201,125000
10038,60403
11101,127440
NA,35
11201,60000
10007,81535
11373,53.99
10004,67556
11373,141319
11101,61936
11373,72310
11101,92001
11373,51765
11373,61104
11373,57958
11101,81535
11201,409.78
11373,161497
11236,486.72
11101,60447
10038,17.9
74104,86347
11201,131623
11212,40962
11201,1.00E+05
10271,65000
10007,82000
10301,55870
10301,78177
NA,194395
10007,19.9
10595,108657
10007,156829
11101,60000
11370,85029
10474,38528
52404,130000
10065,182000
10011,75591
10038,83440
10007,73000
10038,42799
10007,88213
11101,91045.08
10007,92119
11377,389.97
11101,81535
10016,135000
11373,72535
10038,62577
11201,106000
10004,65360
11101,66636
11373,155000
11101,95270
10035,69987
11201,68834
11370,36.5896
11201,95000
11373,75349
11201,115000
11101,83151
11373,79726
11101,17.9
10007,90000
11212,44238.96
10004,150371
10458,78429
11201,73309
11373,63728
10038,17.9
10451,64662
10595,101848
10038,65000
11373,104182
11201,73986
10004,83151
46205,41675
10032,84641
NA,40.48
10457,44742.24
10038,1.00E+05
10007,85259
11373,94549
11373,55039
11373,161497
11101,81000
10038,115000
10007,150371
11214,322.4
11201,116391
10007,80000
10007,80000
10038,42799
10007,90000
10007,1.00E+05
11101,144145
11101,130939
10016,45766
11214,40.3
10007,130000
11373,104182
10038,18.03
11433,55870
10038,42799
10007,110000
NA,45632
11379,75591
11201,82030
10038,65000
11373,81535
10013,101853.72
10016,178873
10038,107770
11101,87000
10004,81535
10007,90000
NA,20.31
10004,118610
10038,82455
11101,81000
11373,141319
10007,53759
10007,61863
11373,178873
10016,75000
10016,83400
10004,98000
10007,56650
11373,194395
10038,81535
10038,67523
NA,24.74
10004,52524
11373,47016
11201,115000
10007,25.35
11217,40629
11101,161497
NA,82526.04
11201,110000
10038,42799
11101,72572
10007,135000
10038,126000
10004,60403
11101,68499
10007,70000
11433,120000
10007,89637
10007,29.9294
11101,78840
10038,65000
10004,70457
11373,194395
11221,81535
10038,81535
10004,92001
10023,96611.76
10038,109153
10004,52524
NA,56860.92
10007,75591
10004,78000
11236,486.72
11222,35167
10016,62272
11205,38.05
11370,120000
11214,389.97
11373,144413
10038,75000
11101,61936
10016,60.84
64161,101848
13755,83151
10007,62424
11373,64357
11373,71794
11101,78.59
11101,165000
11101,102600
10004,98000
11101,17.9
11101,23.9
10016,72816
10013,150371
10595,35.95
10007,75000
10016,14.58
10038,72505
10007,66591
10271,60403
10001,115000
10038,81535
10038,89008
10007,70000
,65000
11216,61387.2
10016,61280
11373,70353
52404,104182
-74.0109144,90000
11368,51250
11101,101853.72
,57720
11101,19.62
11373,77401
10007,66875
10007,41710
11101,23.76
10004,60403
11101,106222
11101,25.8
11101,23.9
10007,109669
11101,60.94
11373,113725
10004,79726
11373,109850
11101,68181
11373,113725
11373,79726
11101,101854
11101,118728
10007,77115
11373,178873
11373,91347
11101,144413
11101,144268
10301,149190
11373,115000
11373,178873
10027,64720
10038,79285
11101,60000
10455,18.02
11201,224749
11101,186555
10016,81535
11373,82500
11101,68499
11373,70000
11101,67523
11373,79726
10004,83151
11201,75000
11373,91347
10007,56272
11373,66636
11201,150000
10016,76516
10038,42799
10004,104182
11101,62549
13755,91347
22314,121497
11373,43465
10016,29
10007,81535
10038,42799
10271,61504
10038,55430
11101,70000
NA,92249
11101,81535
10007,93737
10013,44853
11373,178873
10038,135000
11201,208298
11377,84906
10004,52524
10007,75000
11362,94983.12
10007,150000
10013,44853
10038,42799
10013,14.85
11201,1.00E+05
10007,81535
10038,67000
NA,202744
11373,118610
11373,113725
10007,1.00E+05
11101,80000
11377,80000
10007,60403
10007,135000
11101,78211
11373,63728
11201,115000
11101,17.9
10038,53000
10038,80000
10038,145950
11373,140000
10595,113725
11373,91347
11101,68181
11101,80829
11373,71794
11101,91045.08
10004,104182
11101,66247
11373,178873
11373,79726
11101,70200
11222,91347
10016,101853.72
11201,120000
NA,47142
10035,69987
11378,70045
10004,104182
11101,70353
13755,58269
11373,80000
10038,39.5725
11373,120000
10007,95522
10307,71502
11370,54147
11373,113725
10004,72000
10038,103044
10007,95000
NA,36.93
11101,70353
11101,91800
10001,115000
11101,120960
10038,60000
10007,64307
11201,217244
10128,19
10038,65000
11373,1.00E+05
10038,80000
11201,102388
11370,50763
10007,115000
11106,75349
11373,95270
10038,42799
10038,85000
11101,82644
10016,75900
10007,40629
