zip,Salary.Range.To
10016,385
11373,81131
10038,51500
10456,61560
11101,66247
10006,202744
11222,41675
10038,60000
11101,110000
11101,47142
10038,70353
10038,55860
11373,209585
NA,83500
NA,95214
11101,56798
11201,82462
11101,75349
10007,135000
10004,105000
10007,65433
10007,66636
11373,52000
10007,68244
12740,363.92
10007,75000
10038,66950
11201,120000
10038,112000
11101,60000
11373,161497
11373,61104
11373,178873
11373,125000
10007,95000
10038,60000
11373,52000
94062,70808
10038,81535
11101,101853.72
10007,40629
11101,84301
NA,51049
10001,105000
10007,95000
11222,61800
10595,93197
11101,79695
11373,101148
10271,65000
10007,75900
10038,61936
10001,17.9
10038,80000
10007,44142
11212,81798
11101,68499
10007,68244
11373,72742
10004,70457
11373,161497
10301,52000
10007,65433
11373,141319
11201,68834
11222,60659
10007,29.9294
,62391
10007,149190
10013,101853.72
11201,80000
11101,91045.08
11101,66247
11373,83151
11101,126575
11101,168433
11101,54518.4
11101,17.9
11101,91045.08
10013,51049
10004,83151
11101,15.5
11201,140000
10451,66875
10038,17.9
10013,194395
10016,61377
10016,40629
11373,71794
11212,37054
10016,71388
10004,91347
11373,65000
10016,39977
10007,45000
10004,113725
11373,91347
11101,95442
11101,69042
11201,58000
11238,97873
11101,15.5
11373,173000
10038,50000
11101,81526
10007,80000
11101,61936
10007,112500
11106,43938
10038,110000
10007,66591
11236,33.9
11236,33.9
11373,65000
10016,64014
11101,106222
10007,74356
10038,162014
11373,25
11101,65678
NA,110000
11373,70000
10038,42799
11101,161497
10467,97379
11373,113725
11373,52000
10007,120000
10038,57074
10038,178873
10038,42799
10007,110000
11101,141865
11373,86238
11373,71794
10007,75000
11101,92001
10301,78177
11106,43938
10007,80000
10016,84301
NA,19.9
10004,80824
11101,70200
11101,94309
10038,50000
10016,82965.6
11101,88000
10038,150371
10004,46669
10016,55000
11373,86238
11373,52000
-74.0109144,90000
10007,108345
10016,41956
11373,130000
10004,81535
10004,61936
11354,76737
11373,161497
10007,57236
10038,112000
11373,130000
10457,107770
11101,87000
11101,60000
10007,40629
10013,51049
10007,90202
11373,76677
10016,61357
11101,84301
,83151
,83151
10038,63728
10457,44742.24
10038,109153
11101,56798
11101,109007.64
11373,120000
10007,88213
11373,108657
11101,19.9
11432,20.7739
11101,70200
11373,120000
10001,20
10001,71794
10038,72100
11222,41675
10038,57341
10038,76399
11101,61936
NA,39.11
11101,61341.84
11373,73039
10038,51500
10038,130000
10038,1.00E+05
11101,66739
NA,70814.52
10038,42799
11373,141319
10038,54000
10001,57164
11373,106222
11101,79695
11373,79726
11237,55526
11222,98262
11101,113725
11101,103723
10004,113725
11201,115000
11373,134433
11101,55170
11373,105581
11216,61387.2
11201,116391
10001,75000
10038,17.28
11373,76677
11370,90000
11212,78.59
10038,156793
11101,97873
74104,1.00E+05
10007,75000
11101,80000
10038,42799
10016,67485
11101,62779
10004,57236
10038,65938
10001,50000
10038,65938
10038,81535
11201,131623
10016,61377
10603,62308
10455,59000
11373,178873
11201,150000
10016,55379
NA,156829
10004,104182
10007,60000
11370,95000
11373,97873
10007,150000
11201,70000
10016,54879
11201,106000
86336,70808
11201,80000
11373,76677
11201,95000
NA,224749
11373,104182
10451,61936
11373,55170
10004,104182
11373,91795
10595,68181
10001,50000
10016,14.58
11373,79726
11101,144413
11101,97873
10038,42799
7751,80000
10007,1.00E+05
10038,90000
11101,19.62
10007,83151
11373,24.3377
11373,104182
11101,60897.96
10007,76275
10038,57074
11222,60023
10038,1.00E+05
10007,135000
10016,53082
74104,1.00E+05
11201,116391
11373,99394
11101,82644
11101,79726
11101,91.53
10004,104182
NA,20.12
11101,92700
11101,17.9
10038,65000
10007,90000
10004,104182
11101,87295.32
11101,161497
10004,118610
11373,130000
11101,95270
10038,55430
11101,17.9
10001,20
10038,1.00E+05
11201,36309
10038,92500
11201,45424
10004,91347
11201,50000
11101,35.9485
10004,110000
10004,90056
11101,56860.92
10016,74930
11101,89634
10004,66733
10038,69984
11101,144145
NA,36.93
11201,111404
11101,83151
NA,24.74
11201,73039
11373,72535
10038,70000
10007,90000
11373,104182
,51765
11101,85000
10016,46747
10595,95270
10001,130000
11373,144413
10004,80000
11101,168433
11212,36071
10007,71294
10007,73000
11373,101148
NA,29.7789
10001,1.00E+05
11370,120000
10038,67000
10038,90000
10007,56491
11373,89942
10271,65000
10013,61341.84
10004,79726
11101,60000
10038,79000
11373,156829
11101,108000
10013,51049
10038,60000
10001,105000
10013,150371
10271,81833
11373,150371
NA,74482
10007,60223
10038,156793
NA,50733
10007,31.3279
10038,75000
11101,96898
11101,75600
11201,116391
11373,61104
10001,130000
11101,70200
10004,72310
10004,80000
11101,40962
11205,38.05
11201,115000
10038,97000
11373,73124
11373,104182
11201,116391
11222,59534
10038,150371
10025,73576
NA,78.59
11373,47016
11373,209585
11101,91000
11201,125000
11373,120000
10007,156829
11201,110000
10461,54810
10004,98000
11101,70500
10004,78.59
11201,150000
10016,93904
11101,168433
10007,118000
10038,67523
11373,86238
10007,50000
10035,112722
10271,65000
10038,1.00E+05
10004,86565
11201,116126
10016,65455.56
10007,93151
11433,55870
11101,60447
10038,145950
11101,160382
11201,90000
11378,373.03
11373,120000
,56743
10007,160000
10038,52148
11201,1.00E+05
10016,122000
10013,51049
10007,90000
11373,65678
11373,121363
10004,44280
11373,90418
10016,52041
10038,50000
11432,31.3279
10451,58688
10451,58688
10038,81535
11373,83151
11373,91795
11373,79726
11101,64789
10271,90000
10038,60403
11201,50000
11101,59098
11373,104182
10016,56690
10007,53759
10457,45498.24
11212,40962
11101,85000
10007,83160
10013,59400
10013,79726
11101,94309
11373,71794
11201,65235.24
11101,72572
10038,23.43
10004,55170
10007,90000
10038,42799
11373,100613
11101,75349
10038,90000
11377,54018
10007,95000
10004,105000
10038,75651
11101,35.58
11373,43465
10007,165000
11373,104182
11373,107000
10038,90000
11435,81798
NA,65458.8
11373,52000
11101,91499
10007,66875
12740,60447
10007,91000
11101,46222.92
10038,17.9
11368,80000
11368,80000
11101,35.58
11373,118610
11377,92001
11201,131623
NA,54879
11101,65678
10038,76399
30303,75000
10007,75000
10457,45498.24
10038,70000
12461,113725
11373,58478
10007,110000
10016,55000
10016,75000
10038,55000
NA,20.31
11101,106222
11101,19.9
10007,112500
95833,73124
10004,136023
11373,89942
11101,61560
10038,53619
11101,60990
11373,73124
10007,53616
10013,194395
10016,72000
11373,91347
11201,32.0487
10016,83362
11101,23.9
10038,90000
10301,45.49
11101,84301
10007,71294
10007,84435
10023,48000
10023,48000
11101,64800
10013,43879
10007,58162
11370,75591
NA,45632
NA,110000
10016,83400
11201,85000
11101,104182
11201,76399
11101,135000
10038,81535
10038,85644
10007,85000
10016,62834
11201,80000
NA,62744.76
10004,104182
10007,74479
11373,72535
10038,70000
11101,150371
10007,95522
11101,61341.84
11101,43152
11101,59098
11417,83151
10007,43618
11214,389.97
11373,144413
10038,89008
10007,95000
11373,104182
10007,89634
10004,50000
11373,110413
11373,58478
10004,97873
11373,104182
10016,82646
10038,90000
10007,165000
10007,83151
11373,36.0411
11373,134433
10013,79726
10007,160000
11101,60897.96
10007,60223
10038,75000
10007,65625
10271,84301
10038,85335
11101,75600
10038,75900
10038,63728
10038,62000
11101,91044
11373,79726
11101,47645
11101,108657
11373,78944
10304,71502
10038,38.46
11101,91045.08
11101,79435.08
11373,161497
10004,54879
10016,57134.16
11201,110000
10013,44045.64
11201,111344
10007,64412
11370,110000
10027,95616
10038,105000
,86238
10038,97000
10038,82377
10007,135000
11222,36677
11222,32918
10035,112722
10038,42799
10007,112500
10007,54879
11373,113725
10007,59385
10013,91199
10038,76745
11212,72000
10007,90000
NA,65439.36
10007,112233
NA,69665.4
11238,79741
10038,90000
11373,49035
NA,74183
10016,81535
10001,115000
11101,136563
10038,70000
10004,97873
10013,87295.32
11201,63349
10004,89638
11201,125000
10038,17.9
10004,81535
11373,89638
10038,60000
11373,178873
11430,54879
10595,113725
11373,104364
10038,62192
11101,68499
10007,88213
10004,185000
11373,113725
11101,75600
11201,95077
10004,59863
10004,59863
10004,95000
11373,53170
10271,68000
10038,125000
11201,65235.24
11373,363.92
11201,106000
10038,72100
10307,55870
11373,198518
10007,65433
11377,75000
10004,51902
10038,62192
10007,58162
11101,66875
22314,113494
10007,57944
10065,73000
10007,57944
11101,144413
11373,91199
11101,60000
11101,113838
46205,44974
11101,78840
11101,108657
10455,18.02
10462,76737
10007,68494
11101,40962
10007,19.9
10004,185000
11554,70808
11101,118610
10007,53759
11373,105581
10007,125000
11101,85000
10038,105000
10038,77000
10009,72000
10031,44729
10038,130000
NA,56860.92
11101,75000
11417,49035
11373,79726
11201,102388
10007,178873
10004,68750
11373,75349
11201,62834
10007,175000
11370,110000
11373,57720
10016,54967
10004,95270
11373,70353
10038,81535
11101,101853.72
10004,50000
10007,19.9
11373,111344
10004,108657
10004,98000
11201,85029
,57720
11375,53619
11373,115000
11101,65678
10007,89637
NA,78177
11101,144413
10301,45.49
11206,23.9
11101,67556
11101,83151
10007,80000
10001,80000
11101,150371
10038,72505
10271,111000
11373,78211
11101,168433
10007,135000
11373,168433
10038,32918
11101,78177
11373,47016
10304,35167
10004,101848
10001,75000
10007,75000
11373,79726
10038,74479
10038,95000
10013,17.9
10038,65246
11101,68499
11101,88213
11373,52000
10038,62000
10007,70200
10007,130000
11214,322.4
10013,51049
10462,25.81
11101,22.4204
11101,88824
10007,31.3279
10595,108657
11222,61800
10301,55870
11201,64000
11101,107991
10457,81498
11417,373.03
11373,91795
10016,53082
11373,52000
10038,62809
11101,144413
10007,48780
10007,70000
10007,60000
10035,79726
10016,135000
10038,112000
11222,91347
10038,17.9
10038,90000
46250,322.4
11373,122925
11432,161497
11373,58478
10038,50000
10007,58688
74104,86347
10004,103952
NA,178873
10013,37980
10038,58000
NA,52821
11101,81535
NA,40.48
11101,62549
10038,75900
11370,85029
10013,87295.32
10462,91800
11101,225217
75225,101848
11101,136023
10004,105000
64161,224749
11212,36071
10016,102000
11101,89634
11373,105000
10038,110000
10038,60403
10007,84435
10007,68244
10038,150000
10007,50000
10004,104182
11373,156829
10023,48000
10271,31.4193
11201,52629
10007,60660
10007,19.9
10038,120000
11101,79267
10001,115000
10038,54720
10038,90000
11373,70353
10016,75900
NA,78177
11373,91347
11201,125000
10038,60403
11101,83151
11373,94549
10007,350.32
11212,37054
11373,75651
11373,91347
11101,76275
10038,36.94
10007,95000
10016,61357
10065,73000
10065,73000
11373,144413
11373,134433
10004,91347
11101,65000
10007,54879
10007,54879
10004,17.9
11101,108657
11101,17.9
11101,57.69
10271,70000
11101,110000
10016,55000
10301,45000
11101,87877
10458,84433
11373,71794
10007,50876
10038,62809
10038,115000
10013,144929
NA,81535
10007,65000
10038,90000
10007,58162
10038,70000
10013,39611.16
11373,104182
11101,85029
10004,104182
11101,66875
10007,93151
11101,67523
11101,70000
11373,24.3377
10004,80000
NA,80117.64
11101,144413
11101,84301
10004,79726
10038,60000
10038,1.00E+05
10004,22.0718
10038,70000
10007,54879
10007,54879
10065,19.3534
11101,96000
10038,66950
10007,135000
10038,89008
11373,74479
10007,54633
11373,118610
11101,81526
11201,115000
NA,56860.92
10016,71388
11101,95270
10013,81000
11101,78.59
10007,21
11101,93960
11101,67000
10013,194395
10016,46476
11201,134914
10038,60000
11354,73576
11101,161497
10038,90000
11201,16.77
10004,53000
10038,57074
NA,40495
11373,79726
10038,23.43
10007,120000
10007,70200
10038,53.85
10038,42799
10016,78177
10004,95000
11201,61334
10007,56798
11222,55.98
11101,19.62
10007,47317
10007,53759
10016,40629
10038,95022
10001,130000
10038,42799
10038,74144
10004,132061
11373,38.05
11373,161497
11101,17.9
10451,53281
10038,42799
10004,62000
10007,75000
11212,22.91
10013,70740
10033,363.92
11373,91199
11101,141865
11370,54147
11101,95782
11101,89638
10038,57362
,78177
10038,55000
10007,175000
